Concentrations in ppbv,,m/z 47.01204 [C1H3O2],m/z 59.04874 [C3H7O1],m/z 61.02806 [C2H5O2],m/z  127.075 [C7H11O2],m/z 137.1339 [C10H17],m/z  139.113 [C9H15O1],m/z 143.1063 [C8H15O2],m/z 155.1074 [C9H15O2],m/z 157.0866 [C8H13O3],m/z 171.1014 [C9H15O3],m/z 173.0805 [C8H13O4],m/z 187.0977 [C9H15O4],m/z 201.1118 [C10H17O4]
,,m/z 47.0118,m/z 59.04863,m/z 61.02766,m/z 127.0748,m/z 137.132,m/z 139.1119,m/z 143.1056  ,m/z 155.1068,m/z 157.086,m/z 171.1006,m/z 173.0808,m/z 187.0966,m/z 201.1119
time_string,time_number,C1H3O2,C3H7O1,C2H5O2,C7H11O2,C10H17,C9H15O1,C8H15O2,C9H15O2,C8H13O3,C9H15O3,C8H13O4,C9H15O4,C10H17O4
12/7/2023 10:37,45267.4414,0.24602,0.22793,0.17939,0.0058586,0.0031352,0.035755,0.0028524,0.017965,0.00081352,0.0016591,0.00018065,0.00041261,0.00024344
12/7/2023 10:37,45267.4414,0.257,0.22002,0.18311,0.0061028,0.0026808,0.03682,0.0016183,0.015623,0.0017722,-0.0003535,-0.00022875,0.0010701,-0.00046978
12/7/2023 10:37,45267.4414,0.23238,0.22617,0.16,0.0041617,0.0049943,0.032654,-0.0002005,0.01457,0.0014531,0.0022808,1.55E-05,0.0012555,-5.85E-05
12/7/2023 10:37,45267.4414,0.22161,0.21603,0.18577,0.007914,0.0012541,0.034906,0.001737,0.014777,6.81E-06,0.00091344,0.00084297,-0.00030541,0.002969
12/7/2023 10:37,45267.4414,0.21221,0.20227,0.18061,0.0024799,0.0019401,0.036208,-9.47E-05,0.013475,0.0029465,0.0017718,0.00032544,0.00067603,0.00031421
12/7/2023 10:37,45267.4414,0.2337,0.1932,0.19903,0.0024305,-6.91E-05,0.028958,0.00077714,0.011017,0.0011128,0.00089732,0.00024943,-0.00048621,-0.00062126
12/7/2023 10:37,45267.4414,0.22287,0.20764,0.18127,0.0025981,0.0020887,0.035876,-0.00067084,0.01537,0.00065028,0.0015417,0.00087704,-0.00058403,0.0011334
12/7/2023 10:37,45267.4414,0.20847,0.19272,0.16169,0.0039317,0.0043739,0.034291,0.00016405,0.017158,0.00075726,0.0021527,4.74E-05,-6.23E-06,-9.85E-05
12/7/2023 10:37,45267.4414,0.19729,0.21927,0.16647,0.0060243,0.0025153,0.029949,0.0010078,0.014313,0.0036884,0.0008095,0.00066162,-0.00019602,0.00091049
12/7/2023 10:37,45267.4414,0.25358,0.22198,0.16956,0.0047962,0.0020598,0.030844,-0.00056412,0.018554,-0.0011303,0.0013496,0.0008361,0.0012645,-0.00036124
12/7/2023 10:37,45267.4414,0.20378,0.22404,0.16323,0.0053745,0.0040901,0.033792,-8.18E-05,0.014844,0.0015424,0.0022988,0.00020068,-0.00081503,-0.00027308
